id;rentrak;cinema;salas;circuito;cidade;estado;regiao;endereco
1;64657;Cine Gama 2;2;AFA;Colatina;ES;SAO PAULO;Rua Capitão Avelino Bastos, 837, Cruzeiro
2;64697;Cine Ritz Conceiçao 3;3;AFA;Linhares;ES;SAO PAULO;Av Shopping Itagua
3;64872;Cine Ritz Guarapari 3;3;AFA;Guarapari;ES;ESPIRITO SANTO;Av  Getulio Vargas 481
4;64997;Ritz Jardins 2;2;AFA;Vitória;ES;ESPIRITO SANTO;Av Florentino Avidos,80 Bairro Conceicao
5;65031;Cine Via Sul 1;1;AFA;Marataizes;ES;ESPIRITO SANTO;Dr  Roberto Calmon, 266, Centro
6;997748;Ritz Sul 4;4;AFA;Cachoeiro de Itapemirim;ES;ESPIRITO SANTO;Rua Carlos E M  De Lemos 262, Jardim Penha
7;1027025;Cine São Mateus 1;1;AFA;São Mateus;ES;MINAS GERAIS;Rua Moacir José Leite, 100 
8;1033173;Ritz Piuma 1;1;AFA;Piuma;ES;ESPIRITO SANTO;Avenida Rubens Rangel e Rua Do Cajueiro
9;1047715;Shopping Aracruz 2;2;AFA;Aracruz;ES;MINAS GERAIS;Av José Corrêa Machado, 1079 - Ibituruna
10;1063034;Ritz Perim Center 3;3;AFA;Cachoeiro de Itapemirim;ES;ESPIRITO SANTO;Av. Francisco Lacerda De Aguiar 304
11;65027;Ritz Divinopolis 5;5;AFA;Divinópolis;MG;ESPIRITO SANTO;Praça São Benedito N°192 / Centro
12;65606;Ibi Cinemas 4;4;AFA;Montes Claros;MG;ESPIRITO SANTO;Av. Izaias Scherrer 41
13;1049492;Cine Ritz Cataguases 2;2;AFA;Cataguases;MG;RIO GRANDE DO SUL;Rua Voluntários da Pátria, 550
14;1069175;Ritz Itaúna 3;3;AFA;Itaúna;MG;SAO PAULO;Vereador Jose Angelo Biagioni 660
15;1074037;Ritz Lafaiete 1;1;AFA;Conselheiro Lafaiete;MG;ESPIRITO SANTO;Avenida Florestal 555
16;1073933;Cine Floresta 1;1;AFA;Alta Floresta;MT;MINAS GERAIS;Estacionamento - Centro, Cataguases
17;1039976;Cine Cruz Alta 2;2;AFA;Cruz Alta;RS;ESPIRITO SANTO;Av. Jones dos Santos Neves, 1372
18;1076687;Cult Cinemas Ijuí 1;1;AFA;Ijuí;RS;MINAS GERAIS;Av Jove Soares 1049
19;1087548;Cult Cinemas Alegrete 1;1;AFA;Alegrete;RS;MATO GROSSO;Av. Ariosto da Riva 2519
20;63808;Cruzeiro 1;1;AFA;Cruzeiro;SP;MINAS GERAIS;Praça Tiradentes 88
21;64410;Cine Porto 1;1;AFA;Ubatuba;SP;RIO GRANDE DO SUL;Rua Porto Alegre 40
22;1047688;Boituva Cine Park 2;2;AFA;Boituva;SP;RIO GRANDE DO SUL;Praça Oswaldo Aranha 199
23;64818;Cine Duplex 2;2;AGA;Amparo;SP;SAO PAULO;Rua Jose Araujo Cintra 100 Centro
24;1072318;Cine Mania 1;1;AGA;Cosmopolis;SP;SAO PAULO;Rua Campinas 951
25;1000696;Rio Branco 6;6;ARAU;Rio Branco;AC;RONDONIA;Avenida Rio Madeira, nº 3288
26;1045730;Multiplex Via Norte 6;6;ARAU;Manaus;AM;SAO PAULO;Av. Joaquim Pompeu Toledo 601
27;1000701;Multiplex Mestre Alvaro 5;5;ARAU;Serra;ES;SAO PAULO;R. Henrique Savi, 15055 - Vila Nova Cidade 
28;65000;Dourados Av Center 3;3;ARAU;Dourados;MS;SAO PAULO;Av. Limeira 722
29;64858;Multiplex Pantanal 8 3D;8;ARAU;Cuiabá;MT;SAO PAULO;Rua Passeio Flamboyants 200
30;63927;Multiplex Catuai 7;7;ARAU;Londrina;PR;SAO PAULO;Rod. Mal. Rondon, 104
31;63951;Avenida Center 4;4;ARAU;Maringa;PR;SAO PAULO;Av.Brigadeiro Faria Lima, 6363
32;64701;Palladium Shop Center 4;4;ARAU;Ponta Grossa;PR;SAO PAULO;Estr. São Francisco, 2059
33;65686;Catuai Shopping Center Maringa 5;5;ARAU;Maringa;PR;SAO PAULO;Av  Antonia Rosa Fioravante 3270
